Pull Request Number,Label by Melika,Label by Milad,Title,Comment Messages,Merged,Time to Merge,Comments,Review Comments,Review Messages,Lines of Code Changed
152,Missing tests,Functional bugs,[MATH-1545] Follow best practice to test ordering in implementation of Comparable,[],No,,0,0,[],2
151,Performance issues,Code style problems,Why we compare two Integers with == but not equals()?,[],No,,0,0,[],2
150,Performance issues,Performance issues,[MATH-1544] delete a needless (IMO) null for double varargs parameter.,[],No,,0,0,[],2
149,Functional bugs,Functional bugs,[MATH-1543] use instanceof check instead of catch ClassCastException in some function.,[],No,,0,0,[],26
148,Code style problems,Code style problems,[MATH-1542] remove `== null` as it is covered by `instance of`,[],No,,0,0,[],2
147,Code style problems,Code style problems,[MATH-1541] break the loop when we can.,[],No,,0,0,[],5
146,Code style problems,Code style problems,Simplify if condition,[],No,,18,0,"['I haven\'t validated, that the strange expression ""object instanceof Foo == false"" means, what I suppose it does. But, if anyone can confirm that this is indeed identical to !(object instanceof Foo), then I\'m all in favour of approving this.', '', 'Well, according to [this page on operator precedence](https://introcs.cs.princeton.edu/java/11precedence/), everything seems to be alright. Approving.', ""Looks good to me. @bhawna94 as Gilles pointed out in the mailing list, these commits can be squashed into a single one, so that it's easier to revert or navigate through these commits should another developer needs to :+1: could you update the PR with that change, please?"", '', '']",8
145,Code style problems,Code style problems,Replace for with forEach,[],No,,1,0,[],42
144,Performance issues,Performance issues,[MATH-1538] refine some codes dealing with filling an array with its first and second elements.,"['`final` is useless, and not the code style for these files', '@efge\r\n> final is useless\r\n\r\nYep, if you think it that way.\r\n\r\n>and not the code style for these files\r\n\r\nThere is final for local variable for class `FieldDenseMatrix` , `TricubicInterpolator` , `UnivariatePeriodicInterpolator` , `FieldDenseMatrix` , `SobolSequenceGenerator`, `GeometryExample`, and several test classes.\r\nSo I think the `final` I used is not outside of ""the code style for these files"", thus no need to change.\r\nOr if I mis-understand something, please tell me.\r\nThanks.']",No,,4,2,"['', '']",40
143,Performance issues,Performance issues,[MATH-1539] use System.arraycopy instead of loop for better performance.,[],No,,2,0,[],59
142,Performance issues,Security issues,use subList().clear instead of a loop of remove(0),[],No,,3,0,[],4
141,Code style problems,Code style problems,use addAll instead of loop.,[],No,,1,0,[],33
140,Performance issues,Performance issues,[MATH-1537] clean-up a test,[],Yes,"1 day, 19:42:05",1,0,[],51
139,Code style problems,Code style problems,[MATH-1537] fix_typos,[],No,,1,0,[],341
138,Security issues,Security issues,[MATH-1537] delete unused imports,[],No,,0,0,[],25
137,Performance issues,Performance issues,[MATH-1537] refine javadoc,[],Yes,07:38:40,1,0,[],46
136,Performance issues,Code style problems,[MATH-1537] Refine jafvadoc and fix typos,[],No,,2,0,[],412
135,Performance issues,Missing tests,refine travis-ci scripts.,[],Yes,06:29:16,1,0,[],4
134,Performance issues,Code style problems,EnumeratedDistribution: Use non-indexing for loop to improve performance in case of LinkedList,[],No,,1,0,[],12
133,Performance issues,Code style problems,MATH-1524: Remove package initialization and reuse chooseInitialCente…,[],Yes,08:17:16,1,0,[],534
132,Functional bugs,Functional bugs,MATH-1509: Add missing documentation to class ImprovementEvaluator,[],Yes,01:23:08,1,0,[],9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
