Pull Request Number,Title,Label by Melika,Label by Milad,Comment Messages,Merged,Time to Merge,Comments,Review Comments,Review Messages,Lines of Code Changed
964,Bump actions/cache from 3.0.9 to 3.0.10,Security issues,Security issues,[],Yes,07:24:20,1,0,[''],8
963,Bump actions/checkout from 3.0.2 to 3.1.0,Security issues,Performance issues,[],Yes,07:16:37,0,0,[''],10
962,Simplify expression (length is never < 0),Code style problems,Code style problems,[],Yes,"6 days, 16:09:06",1,0,[],2
961,Bump commons.pmd-impl.version from 6.49.0 to 6.50.0,Performance issues,Performance issues,[],Yes,12:01:00,0,0,[''],3
960,Bump ossf/scorecard-action from 1.1.2 to 2.0.4,Performance issues,Performance issues,[],No,,2,0,[],2
959,Bump actions/cache from 3.0.8 to 3.0.9,Security issues,Performance issues,[],Yes,12:03:44,0,0,[''],8
958,Bump checkstyle from 9.3 to 10.3.4,Performance issues,Code style problems,[],No,,2,0,[],2
957,Bump commons-text from 1.9 to 1.10.0,Performance issues,Performance issues,[],Yes,00:28:22,1,0,[],2
956,Improve JavaDocs,Performance issues,Performance issues,"['Is there a reason why ""String"" is sometimes linked and sometimes not?', 'No Reason at all.\r\n', 'This is a code comment, not a Javadoc comment, so using Javadoc decorations is wrong. Please review all the files and revert this type of change please.', 'done. Looks like only was this mistake.', '@arturobernalg \r\nYou need to update the PR...', ""ups. Sorry @garydgregory \r\nit's done.""]",No,,8,6,"['', '', '', '', '', '']",2611
955,Bump junit-bom from 5.9.0 to 5.9.1,Security issues,Performance issues,[],Yes,00:38:20,0,0,[],2
954,Bump commons-parent from 53 to 54,Performance issues,Performance issues,[],Yes,00:20:29,0,0,[],2
953,Handle error messages with special characters.,Code style problems,Code style problems,"['`String.valueOf(String)` is not required. Note that String.valueOf(null) will return null and that is handled fine by the IllegalArgumentException constructor. So just pass through the String message argument (which can be null).\r\n', 'There is no `@param` tag for `message`.', 'This is not required.', '`an exception with the specified message`\r\n\r\nNote: This change makes the code example on line 143 invalid. Please update the javadoc in the preceding method to remove:\r\n```Validate.isTrue(myObject.isOk(), ""The object is not okay"");</pre>```\r\n', 'Done.', 'Done.', 'Done.', 'Done.', 'Add a `@Since 3.13.0`', 'Done.', 'This all looks fine. Please add a comment to the private method, e.g. \r\n```\r\nGet the message using {@link String#format(String, Object...) String.format(message, values)}\r\nif the values are not empty, otherwise return the message unformatted.\r\nThis method exists to allow validation methods declaring a String message and varargs parameters\r\nto be used without any message parameters when the message contains special characters,\r\ne.g. {@code Validate.isTrue(false, ""%Failed%"")}.\r\n@param ...\r\n@return ...\r\n```', 'Done.']",No,,11,12,"['Adding this method will change source compatibility to use this method in place of the varargs method when there are no supplied args. This should be reflected in a javadoc change to that method.', '', '', '', '', '', '', '', '']",79
952,Remove empty line,Code style problems,Performance issues,[],No,,2,0,[],2
951,[LANG-1692] Cast FieldUtils.readField result to the recipient type,Performance issues,Performance issues,"['Is this change needed for the type changes? Please revert it otherwise.', ""Please read the description:\r\n\r\n> There's a case as shown in `ReflectionDiffBuilder.java` that if the type inference results in ambiguity, it may cause compile error."", 'In general, please keep cosmetic and stylistic changes out of PRs, it makes PRs noisier, and takes longer to review.', ""@tisonkun \r\nI still don't get it, why is this needed in this PR as it relates to the generics change?"", 'Reverting...', ""Oops. I think I should add the `@param <T>` line so adjusting neighbor lines should be OK. Said you're updating the comments, and adjusting a bit the layout should not be a big deal. I don't touch unrelated comments."", '<img width=""1056"" alt=""image"" src=""https://user-images.githubusercontent.com/18818196/192087964-342f0e2d-57ab-4d45-8ade-51aa183c1482.png"">\r\n', '```\r\n[INFO] -------------------------------------------------------------\r\n[ERROR] COMPILATION ERROR : \r\n[INFO] -------------------------------------------------------------\r\n[ERROR] /Users/chenzili/Brittani/commons-lang/src/main/java/org/apache/commons/lang3/builder/ReflectionDiffBuilder.java:[113,32] reference to append is ambiguous\r\n  both method append(java.lang.String,short[],short[]) in org.apache.commons.lang3.builder.DiffBuilder and method append(java.lang.String,java.lang.Object[],java.lang.Object[]) in org.apache.commons.lang3.builder.DiffBuilder match\r\n```', 'Revert this change, please.', 'Revert this change will cause compile to fail. I can do it and you see what happens.', 'Reverted at bc4e02229407a80b1315c8c5f00cad859724aa4e.\r\n\r\nNow the compilation failed: https://github.com/apache/commons-lang/actions/runs/3210472599/jobs/5247938888.', ""Does that mean that existing call sites in users' applications will also fail?"", ""If you think it breaks the existing code and should not do it, you can reject the PR. But I'm a bit confused since reverting it obviously causes compile to fail."", ""> Does that mean that existing call sites in users' applications will also fail?\r\n\r\nI already wrote it in the PR description. Please read it.""]",No,,10,14,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']",88
950,Bump ossf/scorecard-action from 1.1.2 to 2.0.3,Performance issues,Functional bugs,[],No,,4,0,[],2
949,[LANG-1691] ClassUtils.getShortCanonicalName doesn't use the canonicalName,Code style problems,Code style problems,"['This seems obviously no good to me because ""Named"" is a real concrete class defined in this very file, its name is not """". What am I missing?', ""I felt the same. It is because it is a _local class_. Local classes don't have canonical name\r\n\r\nhttps://docs.oracle.com/javase/8/docs/api/java/lang/Class.html#getCanonicalName--\r\n> Returns null if the underlying class does not have a canonical name (i.e., if it is a local or anonymous class or an array whose component type does not have a canonical name)."", '@thiyagu-7 \r\nThank you for the clarification!']",Yes,04:42:19,0,3,"['', '', '']",18
948,Bump maven-pmd-plugin from 3.18.0 to 3.19.0,Performance issues,Performance issues,[],Yes,08:36:32,1,0,[''],4
947,Bump spotbugs from 4.7.1 to 4.7.2,Security issues,Security issues,[],Yes,08:39:48,1,0,[''],4
946,Bump spotbugs-maven-plugin from 4.7.1.1 to 4.7.2.0,Security issues,Security issues,[],Yes,08:34:58,0,0,[''],4
945,Bump checkstyle from 9.3 to 10.3.3,Performance issues,Performance issues,[],No,,2,0,[],2
944,Bump commons.pmd-impl.version from 6.48.0 to 6.49.0,Code style problems,Code style problems,[],Yes,03:37:39,0,0,[],2
943,Bump maven-checkstyle-plugin from 3.1.2 to 3.2.0,Performance issues,Performance issues,[],Yes,04:45:52,1,0,[],2
942,[LANG-1604] Deprecate RandomUtils in favor of Apache Commons RNG UniformRandomProvider,Performance issues,Performance issues,[],Yes,18:15:56,2,0,"[""I think the commit needs to be rebased. It's showing as 8 commits on GitHub UI.""]",2
941,Simplifiable conditional expression.,Code style problems,Code style problems,[],Yes,05:37:50,1,0,[],4
940,Deprecate getNanosOfMiili() method with typo and create proper getNanosOfMilli(),Code style problems,Code style problems,"['Hi @arturobernalg \r\nThank you for your PR.\r\nWe have to test both calls explicitly, so your best bet is to clone the test method.', 'OK, done. Changed.\r\nTY @garydgregory ', 'Fix `{`', 'done']",Yes,23:01:44,1,4,"['', '', '', '']",36
939,Rename method and fix typo.,Code style problems,Code style problems,[],No,,5,0,[],25
938,Fix some Javadoc comments,Code style problems,Code style problems,"[""You can just say `{@link #ONE}` IIRC, you don't need to refer to your own class name."", 'true. Changed.']",Yes,17:57:11,1,2,"['', '', 'Hi @arturobernalg \r\nThank you for your PR. Please check my comment.', '']",18
937,Extends Object clauses are redundant,Performance issues,Performance issues,[],Yes,01:24:33,1,0,[],10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
