Pull Request Number,Title,Merged,Time to Merge,Comments,Review Comments,Lines of Code Changed
892,LANG-1680 Add support for standalone month formats,Yes,"3 days, 8:09:38",8,11,127
891,[LANG-1627] New method for One-hot XOR,No,,2,0,167
890,[LANG-1627] Implement xorOneHot and add clarifications to Javadoc for xor to explain when it returns true,No,,5,0,206
889,Added method to convert Object to String that support null values.,No,,0,2,56
888,Convert object to String.,No,,0,0,53
887,Remove unnecessary code,No,,1,0,127
886,Bump github/codeql-action from 1 to 2,Yes,"2 days, 3:07:07",0,0,6
885,Bump commons-parent from 52 to 53,Yes,10:00:20,0,0,3
884,Bump checkstyle from 9.3 to 10.1,No,,1,0,2
883,Bump junit-pioneer from 1.6.2 to 1.7.0,Yes,10:05:39,1,0,4
882,Remove unnecessary variable creations.,Yes,"17 days, 14:57:45",0,0,8
881,"Add @SuppressWarnings(""unchecked"")",No,,0,0,3
880,Bump maven-surefire-plugin from 3.0.0-M5 to 3.0.0-M6,Yes,06:19:56,0,0,3
879,Bump actions/setup-java from 2 to 3,Yes,06:37:31,0,0,4
878,Improvement conditions.,No,,2,0,6
877,Simplify and remove unnecessary check.,No,,3,8,78
876,Make final mappingFunction variable.,Yes,"25 days, 7:25:51",0,0,2
875,simplify operations and avoid extra calculations,No,,0,2,2
874,Add early null check MethodUtils.,No,,0,4,25
873,Bump commons.pmd-impl.version from 6.43.0 to 6.44.0,Yes,"1 day, 21:39:58",0,0,2
872,Bump jmh.version from 1.34 to 1.35,Yes,"1 day, 22:02:58",0,0,2
871,Fixing and adding DateUtils exception Javadocs,Yes,03:41:54,0,0,163
870,Updating javadoc for NullPointerException when Validate.notNull() is called,Yes,02:26:35,1,0,29
869,Add missing exception javadoc/tests for some null arguments,Yes,"322 days, 0:31:37",3,3,48
868,Bump spotbugs-maven-plugin from 4.5.3.0 to 4.6.0.0,Yes,06:44:51,0,0,4
867,Bump actions/cache from 2.1.7 to 3,Yes,00:46:57,0,0,2
866,Refactoring the code,No,,1,11,630
865,Refactoring the files.,No,,1,0,630
864,Bump spotbugs from 4.2.3 to 4.6.0,No,,1,0,2
863,[LANG-1462] Use TimeZone from Calendar in DateFormatUtils.,No,,6,0,19
862,LANG-1668 Update getMatchingMethod documentation.,Yes,02:31:37,2,0,1
861,Bump commons.pmd-impl.version from 6.42.0 to 6.43.0,Yes,00:22:26,0,0,2
860,Bump checkstyle from 9.3 to 10.0,No,,2,0,2
859,Bump actions/checkout from 2 to 3,Yes,00:15:30,0,0,4
858,Bump maven-pmd-plugin from 3.15.0 to 3.16.0,Yes,02:06:31,0,0,2
857,Add method defaultIfEmpty with lazy default string computation,No,,7,10,80
856,Bump taglist-maven-plugin from 2.4 to 3.0.0,Yes,00:05:15,0,0,2
855,Add countBlanks() function,No,,2,0,44
854,Bump checkstyle from 9.2.1 to 9.3,Yes,00:23:53,0,0,2
853,Bump commons.pmd-impl.version from 6.41.0 to 6.42.0,Yes,00:15:06,0,0,2
852,startsWithAnyIgnoreCase method,No,,1,0,51
851,LANG-1671: AtomicSafeInitializerTest and LazyInitializerTest modifications using Mockito,No,,3,0,98
850,improve DateUtils by adding calenda.month in comparison in considerin…,No,,4,0,1
849,[LANG-1662] Let ReflectionToStringBuilder only reflect given field names,No,,16,4,324
848,LANG-1682 Adding StringUtils.startsWithAnyIgnoreCase method,No,,4,0,65
847,Bump spotbugs from 4.2.3 to 4.5.3,No,,1,0,2
846,Bump spotbugs-maven-plugin from 4.5.0.0 to 4.5.3.0,No,,1,0,2
845,Fix a flaky test in org.apache.commons.lang3.time.StopWatchTest.testStopWatchSuspend,No,,2,0,3
844,"[LANG-1679] Improve performance of StringUtils.unwrap(String, String)",Yes,"89 days, 6:45:02",0,0,8
843,Bump checkstyle from 9.2 to 9.2.1,Yes,02:14:07,0,0,2
842,Bump jmh.version from 1.33 to 1.34,Yes,00:15:16,0,0,2
841,Bump spotbugs-maven-plugin from 4.5.0.0 to 4.5.2.0,No,,1,0,2
840,Bump spotbugs from 4.2.3 to 4.5.2,No,,1,0,2
839,Bump spotbugs from 4.2.3 to 4.5.1,No,,1,0,2
838,LANG-1677 : Add ReflectionDiffBuilder.setExcludeFieldNames(...) and DiffExclude a…,No,,10,16,130
837,Bump pmd-java8 from 6.40.0 to 6.41.0,Yes,01:29:22,0,0,2
836,Bump junit-bom from 5.8.1 to 5.8.2,Yes,00:06:03,0,0,2
835,Bump biz.aQute.bndlib from 6.0.0 to 6.1.0,Yes,05:36:17,1,0,4
834,Bump spotbugs-maven-plugin from 4.4.2.2 to 4.5.0.0,Yes,11:50:49,1,0,4
833,Bump actions/cache from 2.1.6 to 2.1.7,Yes,09:42:29,1,0,4
832,Bump junit-pioneer from 1.4.2 to 1.5.0,Yes,00:35:46,1,0,2
831,feat: list2tree method add,No,,4,0,298
830,feat: list2tree method add,No,,0,0,293
829,feat: list2tree method add,No,,0,0,296
828,feat: list2tree method add,No,,0,0,291
827,feat: list2tree method add,No,,0,0,288
826,Bump spotbugs from 4.2.3 to 4.5.0,No,,3,0,2
825,Bump actions/checkout from 2.3.5 to 2.4.0,Yes,"8 days, 21:57:34",1,0,2
824,Bump checkstyle from 9.0.1 to 9.1,Yes,06:26:56,1,0,4
823,LANG-1664 adjust doc to show argument is a primitive character,No,,2,0,6
822,Bump spotbugs-maven-plugin from 4.4.1 to 4.4.2.2,Yes,"21 days, 21:47:48",0,0,2
821,Betters names variables and  Fix typos,No,,2,12,220
820,Bump spotbugs-maven-plugin from 4.4.1 to 4.4.2.1,No,,2,0,2
819,Bump actions/checkout from 2.3.4 to 2.3.5,Yes,"4 days, 3:36:44",1,0,2
818,Bump spotbugs from 4.2.3 to 4.4.2,No,,2,0,2
817,fix NumberFormatException in method org.apache.commons.lang3.math.Fra…,No,,4,0,44
816,Use final.,Yes,"34 days, 19:48:58",1,0,112
815,LANG-1676 add another case in RangeTest:testIsOverlappedBy,No,,2,2,1
814,Bump biz.aQute.bndlib from 5.3.0 to 6.0.0,Yes,"5 days, 3:24:44",1,0,2
813,Add final var and Remove redundant String.,Yes,"8 days, 0:26:34",1,0,4
812,LANG-1675 - Improve performance of StringUtils.join for primitives,Yes,"176 days, 5:57:20",19,1,80
811,Bump checkstyle from 8.45.1 to 9.0.1,Yes,"1 day, 4:10:31",1,0,2
810,LANG-1674: Make Range constructors more generic,No,,7,0,32
809,"Fix comment typos, make comments consistent.",No,,4,2,4
808,Bump spotbugs-maven-plugin from 4.3.0 to 4.4.1,Yes,"15 days, 3:57:11",1,0,2
807,Bump junit-bom from 5.8.0 to 5.8.1,Yes,"15 days, 3:59:59",1,0,2
806,"Add methods to enhance joins: joinNotEmptyWith, joinNotBlankWith",No,,0,2,122
805,Bump junit-bom from 5.7.2 to 5.8.0,Yes,"7 days, 22:56:10",1,0,2
804,floor and ceiling for Sorted Arrays,No,,10,0,1206
803,Bump spotbugs from 4.2.3 to 4.4.1,No,,3,0,2
802,Bump maven-pmd-plugin from 3.14.0 to 3.15.0,Yes,"12 days, 22:34:44",1,0,2
801,refactor AtomicSafeInitializerTest to improve test design,No,,2,0,46
800,Remove redundant initializers,Yes,"34 days, 4:59:43",1,0,34
799,Bump checkstyle from 8.45.1 to 9.0,No,,3,0,2
798,Simplify pointless boolean expressions with equivalent but more simple.,No,,1,0,48
797,Avoid multiple equivalent occurrences of the same expression.,Yes,"1 day, 7:50:24",1,2,5
796,"Adopt is no more, long live Zulu!",No,,3,0,2
795,LANG-1670 Fix typos in JavaDoc,Yes,"1 day, 0:37:28",2,0,10
794,Bump jmh.version from 1.27 to 1.33,Yes,"1 day, 22:30:11",0,0,2
793,Simplify bitwise operations with equivalent and simple.,No,,3,2,2
792,Simplify assertions with equivalent but more simple.,Yes,"10 days, 14:02:34",3,1,233
791,LANG-1669: OpenJDK 16 Day Period Parsing,Yes,08:28:44,1,0,5
790,Bump spotbugs from 4.2.3 to 4.4.0,No,,2,0,2
789,Improve Travis CI build Performance,No,,2,0,1
788,LANG-1667: Allow tests to access java.util classes such as ArrayList in Java 16,Yes,10:51:19,1,0,3
787,Bump checkstyle from 8.43 to 8.45.1,Yes,"16 days, 22:31:35",2,0,2
786,Lang-1657: Diff Result Type Constraint,No,,3,0,38
785,LANG-1663: Update documentation to list correct exception for null array parameters,Yes,"16 days, 17:36:51",4,0,27
784,[LANG-1593] Common behavior for StringUtils join APIs when called with char or String delimiter,No,,8,17,530
783,Bump checkstyle from 8.43 to 8.45,No,,2,0,2
782,[LANG-1666] Implemented ObjectUtils.equalsAny,No,,6,1,41
781,Fixing reversed Javadoc descriptions in StopWatch,Yes,"32 days, 17:27:30",1,0,8
780,LANG-1665 - Modify Tuple equals to take BigDecimal comparison,No,,6,1,68
779,"LANG-1664: Fix javadoc (separator is a character, not a string)",No,,1,3,6
778,Bump spotbugs-maven-plugin from 4.2.3 to 4.3.0,No,,3,0,2
777,"LANG-1664 - Javadoc for StringUtils.substringBefore(String str, int separator) doesn't mention that the separator is an Int",No,,3,0,18
776,Javadoc Validate.notNull corrections,No,,1,0,29
775,Bump spotbugs from 4.2.3 to 4.3.0,No,,1,0,2
774,Bump checkstyle from 8.43 to 8.44,No,,2,0,2
773,Object Casting,No,,2,2,27
772,Object Casting,No,,0,0,31
771,"Simplify conditions in ""binaryBeMsb0ToHexDigit"" and avoid extra checks.",No,,1,0,28
770,Removed use of restricted identifier,No,,6,0,12
769,Minor changes,Yes,"328 days, 1:03:58",1,2,9
768,Bump checkstyle from 8.42 to 8.43,Yes,"22 days, 6:57:54",1,0,2
767,Bump junit-pioneer from 1.4.1 to 1.4.2,Yes,"22 days, 6:58:49",1,0,2
766,LANG-1172: Support dash as a delimiter in locales,Yes,"280 days, 0:54:07",11,7,19
765,Check if the given class represents an array of primitives,No,,5,0,36
764,Bump actions/cache from 2.1.5 to 2.1.6,Yes,"25 days, 7:31:22",1,0,2
763,Bump jmh.version from 1.27 to 1.32,No,,2,0,2
762,LANG-1661 - Add methods to ClassUtils to get the class type names in a null-safe manner,No,,5,0,112
761,Bump junit-bom from 5.7.1 to 5.7.2,Yes,"5 days, 15:28:05",1,0,2
760,ObjectUtils: Add nullSafeEquals method for Object compare. ,No,,5,0,205
759,ObjectUtils: Add nullSafeEquals method for Object compare.,No,,0,0,205
758,Use own validator ClassUtils.getSimpleName to get String input,No,,3,2,14
757,Use own validator ClassUtils.getName to get String input,No,,5,8,44
756,LANG-1660 - Gets a hex String form of an object's identity hash code,No,,1,0,42
755,Fix ObjectUtils Javadocs,Yes,"146 days, 10:44:43",1,0,16
754,LANG-1659 - Add null-safe ObjectUtils.isArray(),Yes,"156 days, 21:35:16",2,10,79
753,Bump jmh.version from 1.27 to 1.31,No,,2,0,2
752,Upgrade checkstyle 8.41.1 -> 8.42,Yes,"2 days, 21:39:38",2,0,4
751,create API for searching for numbers within string - solving LANG-165…,No,,0,8,165
750,Bump jmh.version from 1.27 to 1.30,No,,2,0,2
749,Bump junit-pioneer from 1.3.8 to 1.4.1,Yes,"7 days, 7:43:40",1,0,2
748,Bump junit-pioneer from 1.3.8 to 1.4.0,No,,2,0,2
747,Bump checkstyle from 8.41.1 to 8.42,No,,2,0,2
746,Bump easymock from 4.2 to 4.3,Yes,06:42:54,2,0,2
745,Lang 1656 first non blank returned,No,,1,0,111
744,Bump spotbugs from 4.2.2 to 4.2.3,Yes,"2 days, 17:10:40",0,0,2
743,Lang 1656: first non blank returned,No,,4,2,111
742,Bump actions/cache from v2.1.4 to v2.1.5,Yes,"5 days, 17:06:24",1,0,2
741,[LANG-1655] Add API canonicalCompositionAfterStripAccents (an issue where characters were separated in the NFD…),No,,1,0,29
740,Bump actions/setup-java from v1.4.3 to v2,No,,2,0,2
739,Bump checkstyle from 8.41 to 8.41.1,Yes,"20 days, 13:03:22",1,0,2
738,Redundant Collection operation. Use Collections.emptyIterator(),Yes,"47 days, 6:15:07",1,0,2
737,Bump jmh.version from 1.27 to 1.29,No,,3,0,2
736,LANG-1652 - Check whether the given class has a public constructor,No,,4,0,29
735,Bump spotbugs-maven-plugin from 4.2.0 to 4.2.2,Yes,"2 days, 17:33:30",1,0,2
734,Use Set instead of List for checking the contains() method,Yes,"242 days, 8:50:17",5,0,4
733,Fixed NPE getting Stack Trace if Throwable is null,Yes,"379 days, 14:48:48",1,9,13
732,"LANG-1651 - Check if a given field is a ""public static final"" constant.",No,,1,0,18
731,LANG-1649 - Check if method is Overridable,No,,9,22,110
730,EnumUtils: Add more-generic getEnumMap() method.,No,,3,3,68
729,LANG-1647 - Check if an throwable is a checked exception,No,,1,10,44
728,LANG-1645: NumberUtils to recognise hex integers prefixed with +,No,,1,0,38
727,LANG-1644 - Check if number is hexadecimal,No,,9,4,87
726,Bump spotbugs from 4.2.1 to 4.2.2,Yes,"1 day, 11:07:12",1,0,2
725,Add toLocalDate to CalendarUtils,No,,2,0,22
724,Bump jmh.version from 1.27 to 1.28,No,,2,0,2
723,Ll,No,,1,3,422
722,Bump checkstyle from 8.40 to 8.41,Yes,"3 days, 9:50:21",1,0,2
721,Bump junit-pioneer from 1.3.0 to 1.3.8,Yes,"3 days, 9:51:27",1,0,2
720,Reuse ObjectUtils.anyNull,No,,2,0,102
719,SimpleStopWatch is alternative for overcomplicated and buggy StopWatch,No,,1,0,164
718,Use own validator ObjectUtils.anyNull to check null String input,Yes,"1 day, 0:29:20",2,0,6
717,Feature/not null or empty aux,No,,3,2,94
716,Reuse the boolean array validations.,No,,3,4,67
715,Bump biz.aQute.bndlib from 5.2.0 to 5.3.0,Yes,09:16:48,1,0,2
714,Add and use true & false String constants,Yes,14:52:21,1,0,56
713,"Let mid(null), left(null) and right(null) return empty",No,,3,0,45
712,Fix broken Javadoc links to commons-text,Yes,"3 days, 11:40:10",2,0,6
711,New Junit test cases for org.apache.commons.lang3.builder,No,,1,1,95
710,Bump actions/cache from v2 to v2.1.4,Yes,"2 days, 16:10:24",1,0,2
709,Implement StopWatch lap,No,,4,2,65
708,Bump spotbugs from 4.2.0 to 4.2.1,Yes,"5 days, 16:37:41",1,0,2
707,Bump junit-bom from 5.7.0 to 5.7.1,Yes,"5 days, 16:35:02",1,0,2
706,Bump checkstyle from 8.39 to 8.40,Yes,"9 days, 15:34:59",1,0,2
705,Bump maven-checkstyle-plugin from 3.1.1 to 3.1.2,Yes,"2 days, 21:02:50",1,0,2
704,Added new percentage check circuit breaker,No,,2,0,415
703,LANG-1641: GmtTimeZone now implements #equals(Object) using it's time…,No,,3,5,77
702,Bump junit-pioneer from 1.1.0 to 1.3.0,Yes,10:57:40,1,0,2
701,Minor Improvements,Yes,"22 days, 5:28:04",1,0,11
700,Minor Improvement: Add final variable.try to make the code read-only,Yes,"22 days, 5:41:27",1,0,46
699,Minor Improvement: Remove redundant initializer,Yes,"22 days, 5:46:55",1,0,32
698,Minor Improvement:,No,,2,0,167
697,Bump junit-pioneer from 1.1.0 to 1.2.0,No,,2,0,2
696,LANG-1639 Add getEnumByPredicate,No,,1,3,67
695,Remove unnecessary length check,No,,0,0,2
694,"[LANG-1231] - StringUtils#indexOfAny(final CharSequence cs, int beginIndex, final String searchChars)",No,,1,0,43
693,[LANG-1614] - Split fixed-length elements,No,,2,0,72
692,Bump spotbugs-maven-plugin from 4.1.4 to 4.2.0,Yes,"2 days, 8:11:41",1,0,2
691,DiffBuilder.java: remove unnecessary boxing for primitives,No,,3,0,32
690,Processor.java: check enum euqality with == instead of .equals() method,Yes,12:46:44,1,0,10
689,Bump checkstyle from 8.38 to 8.39,Yes,08:41:01,1,0,2
688,[LANG-1637] Fix 2 digit week year formatting,Yes,"6 days, 3:39:23",6,10,17
687,Minor improvements,No,,1,0,147
686,[LANG-1636] Add missing boolean[] join method,Yes,"8 days, 7:28:53",2,0,97
685,[LANG-1635] - Count True function improvement,No,,4,0,39
684,[LANG-1634] Add ObjectUtils #applyIfNonNull and #applyFirstNonNull,No,,6,11,133
683,[LANG-1632] -Implementation of indexOf,No,,3,0,35
682,[LANG-1631] Add short circuits in CharSequenceUtils if a character is not defined,Yes,"5 days, 7:30:09",1,10,11
681,[LANG-1630] - NPE lowerCase and upperCase when locale is null,No,,0,0,16
680,[LANG-1544] MethodUtils.invokeMethod NullPointerException in case of null in args list,Yes,22:43:59,2,8,145
679,Correct markup in Javadoc for unbalanced braces,Yes,23:20:17,1,0,4
678,[LANG-1629] Delete white space,Yes,02:58:09,1,0,4
677,LANG-1628: Javadoc correction for RandomStringUtils.random(),No,,2,2,12
676,LANG-1409 StringUtils fix for null Locale,No,,1,0,17
675,"[LANG-1444] NumberUtils.createNumber(), BigDecimal for decimal fractions tending to zero",No,,7,0,26
674,Bump jmh.version from 1.21 to 1.27,No,,3,0,2
673,[LANG-1626] Correction in Javadoc of some methods.,Yes,"1 day, 16:06:22",2,0,96
672,Correction in Javadoc of some methods.,No,,0,0,9728
